record_type,movement_date,booking_date,check_in,check_out,nights,unit_id,currency,net_amount,service_fee,quick_pay_fee,cleaning_fee,gross_income,lodging_tax,income_year,booking_lead_days
reservation,2026-01-05,2025-12-28,2026-01-01,2026-01-02,1.0,room_b,USD,232.83,8.17,,20.0,241.0,0.0,2026.0,4.0
reservation,2025-12-31,2025-12-07,2025-12-21,2025-12-22,1.0,room_a,USD,193.22,6.78,,20.0,200.0,0.0,2025.0,14.0
reservation,2025-12-31,2025-12-13,2025-12-21,2025-12-22,1.0,room_b,USD,193.22,6.78,,20.0,200.0,0.0,2025.0,8.0
resolution_payment,2025-12-31,,2025-12-21,2025-12-22,1.0,room_b,USD,50.0,,,,50.0,,2025.0,
reservation,2025-12-31,2025-12-17,2025-12-26,2025-12-27,1.0,room_b,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,9.0
reservation,2025-12-31,2025-12-23,2025-12-26,2025-12-27,1.0,room_a,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,3.0
reservation,2025-12-31,2025-12-14,2025-12-27,2025-12-28,1.0,room_b,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,13.0
reservation,2025-12-31,2025-12-12,2025-12-29,2025-12-30,1.0,room_b,USD,193.22,6.78,,20.0,200.0,0.0,2025.0,17.0
reservation,2025-12-22,2025-12-08,2025-12-11,2025-12-12,1.0,room_b,USD,193.22,6.78,,20.0,200.0,0.0,2025.0,3.0
reservation,2025-12-22,2025-10-28,2025-12-13,2025-12-14,1.0,room_a,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,46.0
reservation,2025-12-22,2025-12-12,2025-12-13,2025-12-15,2.0,room_b,USD,396.1,13.9,,20.0,410.0,0.0,2025.0,1.0
reservation,2025-12-22,2025-11-29,2025-12-20,2025-12-21,1.0,room_a,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,21.0
reservation,2025-12-22,2025-12-11,2025-12-20,2025-12-21,1.0,room_b,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,9.0
reservation,2025-12-10,2025-11-27,2025-11-30,2025-12-01,1.0,room_b,USD,169.07,5.93,,20.0,175.0,0.0,2025.0,3.0
reservation,2025-12-10,2025-11-08,2025-12-02,2025-12-03,1.0,room_b,USD,193.22,6.78,,20.0,200.0,0.0,2025.0,24.0
reservation,2025-12-10,2025-12-05,2025-12-05,2025-12-06,1.0,room_a,USD,175.83,6.17,,20.0,182.0,0.0,2025.0,0.0
reservation,2025-12-10,2025-11-30,2025-12-06,2025-12-07,1.0,room_b,USD,212.54,7.46,,20.0,220.0,0.0,2025.0,6.0
reservation,2025-12-10,2025-12-05,2025-12-06,2025-12-07,1.0,room_a,USD,175.34,6.16,,20.0,181.5,0.0,2025.0,1.0
reservation,2025-12-10,2025-11-30,2025-12-08,2025-12-10,2.0,room_a,USD,347.8,12.2,,20.0,360.0,0.0,2025.0,8.0
reservation,2025-12-01,2025-11-21,2025-11-23,2025-11-25,2.0,room_b,USD,313.98,11.02,,20.0,325.0,0.0,2025.0,2.0
reservation,2025-12-01,2025-11-16,2025-11-28,2025-11-29,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,12.0
resolution_payment,2025-12-01,,2025-11-29,2025-12-01,2.0,room_a,USD,50.0,,,,50.0,,2025.0,
reservation,2025-12-01,2025-11-04,2025-11-29,2025-12-01,2.0,room_a,USD,299.49,10.51,,20.0,310.0,0.0,2025.0,25.0
reservation,2025-12-01,2025-11-21,2025-11-29,2025-11-30,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,8.0
reservation,2025-11-24,2025-11-08,2025-11-16,2025-11-17,1.0,room_b,USD,149.75,5.25,,20.0,155.0,0.0,2025.0,8.0
resolution_payment,2025-11-24,,2025-11-16,2025-11-17,1.0,room_b,USD,50.0,,,,50.0,,2025.0,
reservation,2025-11-24,2025-11-18,2025-11-20,2025-11-22,2.0,room_a,USD,289.83,10.17,,20.0,300.0,0.0,2025.0,2.0
reservation,2025-11-24,2025-11-06,2025-11-21,2025-11-22,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,15.0
reservation,2025-11-24,2025-11-12,2025-11-22,2025-11-23,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,10.0
reservation,2025-11-24,2025-11-17,2025-11-22,2025-11-23,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,5.0
reservation,2025-11-17,2025-11-06,2025-11-09,2025-11-10,1.0,room_b,USD,130.42,4.58,,20.0,135.0,0.0,2025.0,3.0
reservation,2025-11-17,2025-10-14,2025-11-12,2025-11-14,2.0,room_b,USD,270.51,9.49,,20.0,280.0,0.0,2025.0,29.0
reservation,2025-11-17,2025-11-08,2025-11-12,2025-11-14,2.0,room_a,USD,115.93,4.07,,20.0,120.0,0.0,2025.0,4.0
reservation,2025-11-17,2025-11-11,2025-11-14,2025-11-16,2.0,room_b,USD,386.44,13.56,,20.0,400.0,0.0,2025.0,3.0
reservation,2025-11-17,2025-11-06,2025-11-15,2025-11-16,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,9.0
reservation,2025-11-10,2025-10-30,2025-10-31,2025-11-01,1.0,room_a,USD,138.39,4.86,,20.0,143.25,0.0,2025.0,1.0
reservation,2025-11-10,2025-10-31,2025-10-31,2025-11-01,1.0,room_b,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,0.0
reservation,2025-11-10,2025-10-09,2025-11-01,2025-11-02,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,23.0
reservation,2025-11-10,2025-10-28,2025-11-07,2025-11-08,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,10.0
reservation,2025-11-10,2025-10-28,2025-11-07,2025-11-08,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,10.0
reservation,2025-11-10,2025-10-29,2025-11-08,2025-11-09,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,10.0
reservation,2025-11-10,2025-11-06,2025-11-08,2025-11-09,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2025.0,2.0
reservation,2025-10-31,2025-10-11,2025-10-12,2025-10-13,1.0,room_a,USD,117.86,4.14,,20.0,122.0,0.0,2025.0,1.0
reservation,2025-10-31,2025-09-17,2025-10-15,2025-10-16,1.0,room_a,USD,125.59,4.41,,20.0,130.0,0.0,2025.0,28.0
reservation,2025-10-31,2025-10-04,2025-10-18,2025-10-19,1.0,room_b,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,14.0
reservation,2025-10-31,2025-10-05,2025-10-18,2025-10-19,1.0,room_a,USD,159.41,5.59,,20.0,165.0,0.0,2025.0,13.0
reservation,2025-10-31,2025-10-16,2025-10-19,2025-10-20,1.0,room_a,USD,135.25,4.75,,20.0,140.0,0.0,2025.0,3.0
reservation,2025-10-31,2025-10-20,2025-10-20,2025-10-21,1.0,room_b,USD,144.92,5.08,,20.0,150.0,0.0,2025.0,0.0
reservation,2025-10-31,2025-10-02,2025-10-25,2025-10-26,1.0,room_b,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,23.0
resolution_payment,2025-10-31,,2025-10-29,2025-10-31,2.0,room_b,USD,40.0,,,,40.0,,2025.0,
reservation,2025-10-31,2025-10-16,2025-10-29,2025-10-31,2.0,room_b,USD,270.51,9.49,,20.0,280.0,0.0,2025.0,13.0
reservation,2025-10-13,2025-09-10,2025-09-13,2025-09-14,1.0,room_a,USD,125.59,4.41,,0.0,130.0,0.0,2025.0,3.0
reservation,2025-10-13,2025-09-16,2025-09-25,2025-09-27,2.0,room_a,USD,265.68,9.32,,20.0,275.0,0.0,2025.0,9.0
reservation,2025-10-13,2025-09-17,2025-09-27,2025-09-28,1.0,room_a,USD,159.41,5.59,,20.0,165.0,0.0,2025.0,10.0
reservation,2025-10-13,2025-09-14,2025-10-03,2025-10-04,1.0,room_b,USD,173.9,6.1,,20.0,180.0,0.0,2025.0,19.0
reservation,2025-10-13,2025-09-09,2025-10-04,2025-10-05,1.0,room_b,USD,159.41,5.59,,20.0,165.0,0.0,2025.0,25.0
reservation,2025-10-13,2025-09-24,2025-10-04,2025-10-05,1.0,room_a,USD,159.41,5.59,,20.0,165.0,0.0,2025.0,10.0
reservation,2025-10-13,2025-09-24,2025-10-05,2025-10-06,1.0,room_b,USD,159.41,5.59,,20.0,165.0,0.0,2025.0,11.0
reservation,2025-10-13,2025-10-01,2025-10-06,2025-10-07,1.0,room_a,USD,82.12,2.88,,20.0,85.0,0.0,2025.0,5.0
reservation,2025-10-13,2025-10-10,2025-10-10,2025-10-12,2.0,room_b,USD,328.47,11.53,,20.0,340.0,0.0,2025.0,0.0
reservation,2025-08-08,2025-06-30,2025-07-31,2025-08-01,1.0,room_b,CRC,57967.82,2032.18,,0.0,60000.0,0.0,2025.0,31.0
reservation,2025-08-08,2025-06-22,2025-08-02,2025-08-03,1.0,room_b,CRC,86946.56,3053.44,,0.0,90000.0,0.0,2025.0,41.0
reservation,2025-07-30,2025-06-29,2025-07-16,2025-07-17,1.0,room_b,CRC,57967.93,2032.07,,0.0,60000.0,0.0,2025.0,17.0
reservation,2025-07-30,2025-06-19,2025-07-18,2025-07-19,1.0,room_a,CRC,67627.39,2372.61,,0.0,70000.0,0.0,2025.0,29.0
reservation,2025-07-30,2025-06-26,2025-07-19,2025-07-20,1.0,room_b,CRC,77286.85,2713.15,,0.0,80000.0,0.0,2025.0,23.0
reservation,2025-07-30,2025-06-30,2025-07-20,2025-07-21,1.0,room_b,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,20.0
reservation,2025-07-30,2025-07-07,2025-07-24,2025-07-25,1.0,room_a,CRC,57967.67,2032.33,,0.0,60000.0,0.0,2025.0,17.0
reservation,2025-07-30,2025-07-03,2025-07-25,2025-07-26,1.0,room_b,CRC,77286.99,2713.01,,0.0,80000.0,0.0,2025.0,22.0
reservation,2025-07-30,2025-06-19,2025-07-26,2025-07-27,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,37.0
reservation,2025-07-30,2025-06-26,2025-07-28,2025-07-30,2.0,room_b,CRC,115930.96,4069.04,,0.0,120000.0,0.0,2025.0,32.0
reservation,2025-07-17,2025-07-01,2025-07-07,2025-07-08,1.0,room_b,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,6.0
reservation,2025-07-17,2025-06-13,2025-07-08,2025-07-09,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,25.0
reservation,2025-07-17,2025-06-26,2025-07-09,2025-07-11,2.0,room_b,CRC,115928.73,4071.27,,0.0,120000.0,0.0,2025.0,13.0
reservation,2025-07-17,2025-06-06,2025-07-11,2025-07-13,2.0,room_a,CRC,135254.0,4746.0,,0.0,140000.0,0.0,2025.0,35.0
reservation,2025-07-17,2025-06-25,2025-07-12,2025-07-13,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,17.0
reservation,2025-07-17,2025-06-29,2025-07-13,2025-07-14,1.0,room_a,CRC,57967.16,2032.84,,0.0,60000.0,0.0,2025.0,14.0
reservation,2025-07-17,2025-07-05,2025-07-15,2025-07-16,1.0,room_b,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,10.0
reservation,2025-07-08,2025-07-01,2025-07-02,2025-07-03,1.0,room_b,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,1.0
reservation,2025-07-08,2025-06-30,2025-07-03,2025-07-04,1.0,room_b,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,3.0
reservation,2025-07-08,2025-06-08,2025-07-04,2025-07-05,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,26.0
reservation,2025-07-08,2025-06-25,2025-07-04,2025-07-06,2.0,room_a,CRC,135253.9,4746.1,,0.0,140000.0,0.0,2025.0,9.0
reservation,2025-07-08,2025-06-25,2025-07-05,2025-07-06,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,10.0
reservation,2025-07-08,2025-06-23,2025-07-06,2025-07-07,1.0,room_a,CRC,57967.74,2032.26,,0.0,60000.0,0.0,2025.0,13.0
reservation,2025-06-30,2025-06-11,2025-06-16,2025-06-17,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,5.0
reservation,2025-06-30,2025-06-14,2025-06-19,2025-06-20,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,5.0
reservation,2025-06-30,2025-06-05,2025-06-20,2025-06-21,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,15.0
reservation,2025-06-30,2025-06-16,2025-06-21,2025-06-22,1.0,room_a,CRC,67627.02,2372.98,,0.0,70000.0,0.0,2025.0,5.0
reservation,2025-06-30,2025-06-18,2025-06-21,2025-06-22,1.0,room_b,CRC,77287.32,2712.68,,0.0,80000.0,0.0,2025.0,3.0
reservation,2025-06-30,2025-06-04,2025-06-27,2025-06-28,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,23.0
reservation,2025-06-30,2025-05-27,2025-06-28,2025-06-29,1.0,room_a,CRC,67625.47,2374.53,,0.0,70000.0,0.0,2025.0,32.0
reservation,2025-06-30,2025-05-31,2025-06-28,2025-06-29,1.0,room_b,CRC,82120.05,2879.95,,0.0,85000.0,0.0,2025.0,28.0
reservation,2025-06-16,2025-05-27,2025-05-31,2025-06-01,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,4.0
reservation,2025-06-16,2025-05-27,2025-05-31,2025-06-01,1.0,room_b,CRC,82118.5,2881.5,,0.0,85000.0,0.0,2025.0,4.0
reservation,2025-06-16,2025-05-20,2025-06-07,2025-06-08,1.0,room_a,CRC,84050.7,2949.3,,0.0,87000.0,0.0,2025.0,18.0
reservation,2025-06-16,2025-05-26,2025-06-07,2025-06-08,1.0,room_b,CRC,82119.54,2880.46,,0.0,85000.0,0.0,2025.0,12.0
reservation,2025-06-16,2025-06-10,2025-06-11,2025-06-12,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,1.0
reservation,2025-06-16,2025-06-09,2025-06-14,2025-06-15,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,5.0
reservation,2025-06-16,2025-06-12,2025-06-14,2025-06-15,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,2.0
reservation,2025-06-02,2025-05-23,2025-05-25,2025-05-27,2.0,room_a,CRC,115932.4,4067.6,,0.0,120000.0,0.0,2025.0,2.0
reservation,2025-06-02,2025-05-24,2025-05-28,2025-05-29,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,4.0
reservation,2025-06-02,2025-05-24,2025-05-29,2025-05-30,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,5.0
reservation,2025-06-02,2025-05-29,2025-05-30,2025-05-31,1.0,room_b,CRC,82118.5,2881.5,,0.0,85000.0,0.0,2025.0,1.0
reservation,2025-05-26,2025-05-08,2025-05-17,2025-05-18,1.0,room_a,CRC,84049.78,2950.22,,0.0,87000.0,0.0,2025.0,9.0
reservation,2025-05-26,2025-05-02,2025-05-23,2025-05-24,1.0,room_b,CRC,96610.46,3389.54,,0.0,100000.0,0.0,2025.0,21.0
reservation,2025-05-26,2025-05-18,2025-05-24,2025-05-25,1.0,room_a,CRC,84050.7,2949.3,,0.0,87000.0,0.0,2025.0,6.0
reservation,2025-05-26,2025-05-22,2025-05-24,2025-05-25,1.0,room_b,CRC,82119.63,2880.37,,0.0,85000.0,0.0,2025.0,2.0
reservation,2025-05-12,2024-12-26,2025-04-30,2025-05-01,1.0,room_a,CRC,57968.63,2031.37,,0.0,60000.0,0.0,2025.0,125.0
reservation,2025-05-12,2025-04-13,2025-05-01,2025-05-03,2.0,room_b,CRC,183561.37,6438.63,,0.0,190000.0,0.0,2025.0,18.0
reservation,2025-05-12,2025-05-07,2025-05-07,2025-05-08,1.0,room_b,CRC,86949.0,3051.0,,0.0,90000.0,0.0,2025.0,0.0
reservation,2025-05-12,2025-05-06,2025-05-08,2025-05-10,2.0,room_b,CRC,183559.0,6441.0,,0.0,190000.0,0.0,2025.0,2.0
reservation,2025-05-12,2025-04-22,2025-05-10,2025-05-11,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,18.0
reservation,2025-05-12,2025-05-05,2025-05-10,2025-05-11,1.0,room_a,CRC,96610.09,3389.91,,0.0,100000.0,0.0,2025.0,5.0
reservation,2025-04-29,2025-03-28,2025-04-20,2025-04-21,1.0,room_b,CRC,96608.71,3391.29,,0.0,100000.0,0.0,2025.0,23.0
reservation,2025-04-29,2025-04-10,2025-04-21,2025-04-22,1.0,room_b,CRC,86949.0,3051.0,,0.0,90000.0,0.0,2025.0,11.0
reservation,2025-04-29,2025-04-21,2025-04-22,2025-04-23,1.0,room_a,CRC,77288.04,2711.96,,0.0,80000.0,0.0,2025.0,1.0
reservation,2025-04-29,2025-04-11,2025-04-25,2025-04-26,1.0,room_b,CRC,96607.71,3392.29,,0.0,100000.0,0.0,2025.0,14.0
reservation,2025-04-29,2025-04-11,2025-04-26,2025-04-27,1.0,room_b,CRC,96607.71,3392.29,,0.0,100000.0,0.0,2025.0,15.0
reservation,2025-04-29,2025-04-16,2025-04-27,2025-04-28,1.0,room_b,CRC,96608.64,3391.36,,0.0,100000.0,0.0,2025.0,11.0
reservation,2025-04-21,2025-03-16,2025-04-16,2025-04-18,2.0,room_b,CRC,173898.0,6102.0,,0.0,180000.0,0.0,2025.0,31.0
reservation,2025-04-21,2025-04-14,2025-04-17,2025-04-18,1.0,room_a,CRC,96610.07,3389.93,,0.0,100000.0,0.0,2025.0,3.0
reservation,2025-04-21,2025-04-01,2025-04-18,2025-04-19,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,17.0
reservation,2025-04-21,2025-04-13,2025-04-18,2025-04-19,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,5.0
reservation,2025-04-21,2025-04-05,2025-04-19,2025-04-20,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,14.0
reservation,2025-04-21,2025-04-11,2025-04-19,2025-04-20,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,8.0
reservation,2025-04-16,2025-04-12,2025-04-14,2025-04-15,1.0,room_b,CRC,86949.0,3051.0,,0.0,90000.0,0.0,2025.0,2.0
reservation,2025-04-14,2025-04-02,2025-04-12,2025-04-13,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,10.0
reservation,2025-04-14,2025-04-09,2025-04-12,2025-04-13,1.0,room_a,CRC,96610.71,3389.29,,0.0,100000.0,0.0,2025.0,3.0
reservation,2025-04-14,2025-04-09,2025-04-11,2025-04-12,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,2.0
reservation,2025-04-14,2025-04-10,2025-04-11,2025-04-12,1.0,room_b,CRC,96607.71,3392.29,,0.0,100000.0,0.0,2025.0,1.0
reservation,2025-04-07,2025-04-01,2025-04-05,2025-04-06,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,4.0
reservation,2025-04-04,2024-12-30,2025-04-02,2025-04-03,1.0,room_b,CRC,67626.51,2373.49,,0.0,70000.0,0.0,2025.0,93.0
reservation,2025-03-31,2025-02-01,2025-03-29,2025-03-30,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,56.0
reservation,2025-03-31,2025-03-20,2025-03-29,2025-03-30,1.0,room_a,CRC,96610.94,3389.06,,0.0,100000.0,0.0,2025.0,9.0
reservation,2025-03-24,2025-03-16,2025-03-21,2025-03-23,2.0,room_a,CRC,193218.57,6781.43,,0.0,200000.0,0.0,2025.0,5.0
reservation,2025-03-24,2025-02-24,2025-03-22,2025-03-23,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,26.0
reservation,2025-03-17,2025-01-19,2025-03-15,2025-03-16,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,55.0
reservation,2025-03-17,2025-03-10,2025-03-15,2025-03-16,1.0,room_a,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,5.0
reservation,2025-03-17,2025-03-10,2025-03-14,2025-03-15,1.0,room_b,CRC,77286.14,2713.86,,0.0,80000.0,0.0,2025.0,4.0
reservation,2025-03-11,2025-03-07,2025-03-09,2025-03-10,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,2.0
reservation,2025-03-10,2025-01-22,2025-03-08,2025-03-09,1.0,room_a,CRC,77288.4,2711.6,,0.0,80000.0,0.0,2025.0,45.0
reservation,2025-03-10,2025-02-06,2025-03-08,2025-03-09,1.0,room_b,CRC,77290.04,2709.96,,0.0,80000.0,0.0,2025.0,30.0
reservation,2025-03-10,2025-01-13,2025-03-06,2025-03-07,1.0,room_a,CRC,57966.41,2033.59,,0.0,60000.0,0.0,2025.0,52.0
reservation,2025-03-06,2025-02-18,2025-03-04,2025-03-05,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,14.0
reservation,2025-03-05,2025-02-06,2025-03-03,2025-03-04,1.0,room_b,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,25.0
reservation,2025-03-03,2025-01-06,2025-02-28,2025-03-01,1.0,room_a,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,53.0
reservation,2025-03-03,2025-01-24,2025-02-27,2025-02-28,1.0,room_b,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,34.0
reservation,2025-02-25,2025-01-07,2025-02-23,2025-02-24,1.0,room_a,CRC,57966.15,2033.85,,0.0,60000.0,0.0,2025.0,47.0
reservation,2025-02-24,2024-11-18,2025-02-22,2025-02-23,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,96.0
reservation,2025-02-24,2025-02-13,2025-02-22,2025-02-23,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,9.0
reservation,2025-02-24,2025-01-29,2025-02-20,2025-02-21,1.0,room_b,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,22.0
reservation,2025-02-18,2025-01-21,2025-02-16,2025-02-17,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,26.0
reservation,2025-02-18,2025-02-09,2025-02-16,2025-02-17,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,7.0
reservation,2025-02-17,2025-01-14,2025-02-15,2025-02-16,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,32.0
reservation,2025-02-17,2025-01-14,2025-02-15,2025-02-16,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,32.0
reservation,2025-02-17,2025-01-16,2025-02-14,2025-02-15,1.0,room_b,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,29.0
reservation,2025-02-17,2025-01-18,2025-02-14,2025-02-15,1.0,room_a,CRC,96610.0,3390.0,,0.0,100000.0,0.0,2025.0,27.0
reservation,2025-02-17,2025-01-28,2025-02-13,2025-02-14,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,16.0
reservation,2025-02-14,2024-12-29,2025-02-12,2025-02-14,2.0,room_b,CRC,135254.0,4746.0,,0.0,140000.0,0.0,2025.0,45.0
reservation,2025-02-12,2025-01-14,2025-02-10,2025-02-11,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,27.0
reservation,2025-02-11,2025-01-29,2025-02-09,2025-02-10,1.0,room_a,CRC,57966.0,2034.0,,0.0,60000.0,0.0,2025.0,11.0
reservation,2025-02-10,2025-01-21,2025-02-08,2025-02-09,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,18.0
reservation,2025-02-10,2025-01-26,2025-02-08,2025-02-09,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,13.0
reservation,2025-02-10,2024-06-22,2025-02-07,2025-02-08,1.0,room_a,CRC,74387.72,2612.28,,0.0,77000.0,0.0,2025.0,230.0
reservation,2025-02-07,2025-01-17,2025-02-05,2025-02-06,1.0,room_b,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,19.0
reservation,2025-02-04,2025-01-15,2025-02-02,2025-02-04,2.0,room_b,CRC,135251.54,4748.46,,0.0,140000.0,0.0,2025.0,18.0
reservation,2025-02-04,2025-01-24,2025-02-02,2025-02-04,2.0,room_a,CRC,125592.19,4407.81,,0.0,130000.0,0.0,2025.0,9.0
reservation,2025-02-03,2025-01-13,2025-02-01,2025-02-02,1.0,room_a,CRC,67627.0,2373.0,,0.0,70000.0,0.0,2025.0,19.0
reservation,2025-02-03,2025-01-14,2025-02-01,2025-02-02,1.0,room_b,CRC,77288.0,2712.0,,0.0,80000.0,0.0,2025.0,18.0
